post_id,post_text,time,likes,comments,shares,reaction_count,like,love,wow,angry,haha,care,sad
728600115972591,"Step into a world of pure imagination. ✨
#WonkaMovie - Only in cinemas this December.",2023-10-20 11:44:10,133,4,33,260,133,116.0,6.0,0.0,1.0,4.0,0.0
728074599358476,"The HEART is the off switch! 💔 Looks like a heartbreak really does drain you of your personality...

📺 We Bare Bears: Weekends at 8:15PM (PH) | 3PM (SG/MY) | 2PM (TH/ID) | Stream on HBO Asia",2023-10-19 19:00:59,330,14,32,600,330,95.0,5.0,4.0,158.0,7.0,1.0
727957666036836,"Saving the day from the bad guys does have its hiccups. Ben's got to work on choosing the right alien for the right occasion! 🏐

📺 Ben 10: Weekdays at 12AM (PH) and Weekends at 11PM (SG/MY) | 10PM (TH/ID)",2023-10-19 10:46:10,176,11,17,264,176,68.0,0.0,1.0,4.0,15.0,0.0
727323112766958,"Grab a kite and head to Marina Barrage in Singapore for a weekend of family kite-flying fun with Tom and Jerry, from 4-5 November! 🪁

This is one of a few iconic spots featured in the all-new Tom and Jerry, set in Singapore.

📺 Tom and Jerry: Premieres Oct 21 on Cartoon Network | Stream on HBO Go

#TomandJerrySingapore",2023-10-18 12:40:26,153,10,13,189,153,33.0,0.0,0.0,2.0,1.0,0.0
726619596170643,"Take to the skies at the Kite Flying Fiesta with Tom & Jerry, at Marina Barrage, Singapore! 🎉

From 4-5 November, soar with your very own D.I.Y kites at Marina Barrage and enjoy family time in the sun 🪁

Can't wait to fly with you there! #TomandJerry #TomandJerrySingapore",2023-10-17 10:45:03,62,4,3,82,62,16.0,0.0,0.0,1.0,3.0,0.0
726040069561929,"Enter a world of animation where your favorite cartoons come to life at #WB100: Celebrating Every Story ✨ at Sentosa, Singapore!

From sketch to color, see how these timeless toons unfolded over the years to become a staple in every household 📺♥

📆 November 10-26. This is a free event.

➡️ Visit www.sentosa.com.sg/wb100 for more information

#WB100inSingapore #VisitSingapore #Sentosa #TomandJerrySingapore",2023-10-16 11:43:35,38,0,7,54,38,14.0,1.0,0.0,0.0,1.0,0.0
724556503043619,"Pick up your pencils and sketch Jerry with us! ✏️ New look, same cat-and-mouse mischief - in sunny Singapore! 🌞

Tag us in your Jerry masterpieces! 🎨

📺 Tom and Jerry: Premieres Oct 21 on Cartoon Network | Stream on HBO Go",2023-10-14 10:15:34,194,2,17,264,194,52.0,1.0,0.0,3.0,14.0,0.0
723197599846176,"The stakes have never been higher for Marceline reach her goal! 🗡️ How many of these tarot card references did you spot in The Stakes?

📺 Adventure Time: Weekdays at 8:30PM (SG/MY) | 7:30PM (TH/ID) | 10:15PM (PH)",2023-10-12 11:46:01,2454,19,157,3310,2454,757.0,12.0,2.0,59.0,25.0,1.0
721336110032325,"Who's ready to splash at the shore? 🌊 Solve the puzzle, pack your beach bag, and prepare for a day of sandy fun in the sun! 🏄‍♀️🌴

Find Out More: www.safestepskids.com

#SafeStepsKids #PrudenceFoundation International Federation of Red Cross and Red Crescent Societies",2023-10-09 10:00:02,73,2,7,101,73,24.0,1.0,0.0,1.0,2.0,0.0
720065946826008,"It's Tom with a twist 🐱 Here's how Tom gets his new look in the all-new Tom and Jerry set in Singapore!

Tag us in your Tom masterpieces! ✏️

📺 Tom and Jerry: Premieres Oct 21 on Cartoon Network | Stream on HBO Asia",2023-10-07 10:05:29,206,6,14,278,206,67.0,1.0,0.0,2.0,2.0,0.0
719499486882654,"Are you Team Tom or Team Jerry? 🐱🐭 Celebrate #WB100 at Sentosa Singapore and rally behind your favourite cat-and-mouse duo at the Hawker Havoc interactive game! 🎮

📆 November 10-26. This is a free event.

➡️ Visit www.sentosa.com.sg/wb100 for more information

#WB100inSingapore #VisitSingapore #Sentosa #TomandJerrySingapore",2023-10-06 11:00:58,61,0,10,71,61,9.0,0.0,0.0,1.0,0.0,0.0
719492376883365,"Being a superhero starts at home! 🌟💪 The littlest actions can bring big smiles to your family and our planet. 🌍🌱

Find Out More: www.safestepskids.com

#SafeStepsKids #PrudenceFoundation International Federation of Red Cross and Red Crescent Societies",2023-10-06 10:45:42,71,1,3,108,71,33.0,0.0,0.0,2.0,2.0,0.0
718404973658772,"Nothing saves an art exhibition like a sweet father-daughter moment 👨‍👧 Goodbye moles! Back to your holes! 🔦

📺 The Powerpuff Girls on Jet Set Go with Tom & Jerry: 21-26 Oct, Weekends at 10:30AM (SG/MY) | 9:30AM (TH/ID) | 12:15PM (PH)",2023-10-04 13:20:09,197,1,12,298,197,86.0,2.0,2.0,4.0,6.0,1.0
717243337108269,"The familiar opening theme song of our favorite cat-and-mouse duo sounds a little bit different... Catch them in Singapore! ☀

📺 Tom and Jerry: Premieres Oct 21 on Cartoon Network and stream on HBO Asia",2023-10-02 10:55:36,4656,27,114,5613,4656,791.0,10.0,8.0,38.0,90.0,20.0
